x               sin(x/2)                sin'(x/2)               sin'(x/2)               sin''(x/2)              sin''(x/2)
      0.60            0.30            0.95            0.96           -0.30           -0.30
      0.61            0.30            0.95            0.95           -0.31           -0.30
      0.62            0.31            0.95            0.95           -0.31           -0.31
      0.63            0.31            0.95            0.95           -0.32           -0.31
      0.64            0.31            0.95            0.95           -0.32           -0.31
      0.65            0.32            0.95            0.95           -0.33           -0.32
      0.66            0.32            0.94            0.95           -0.33           -0.32
      0.67            0.33            0.94            0.94           -0.34           -0.33
      0.68            0.33            0.94            0.94           -0.34           -0.33
      0.69            0.34            0.94            0.94           -0.35           -0.34
      0.70            0.34            0.94            0.94           -0.35           -0.34
      0.71            0.35            0.94            0.94           -0.36           -0.35
      0.72            0.35            0.93            0.94           -0.36           -0.35
      0.73            0.36            0.93            0.93           -0.37           -0.36
      0.74            0.36            0.93            0.93           -0.37           -0.36
      0.75            0.37            0.93            0.93           -0.38           -0.37
      0.76            0.37            0.93            0.93           -0.38           -0.37
      0.77            0.38            0.92            0.93           -0.38           -0.38
      0.78            0.38            0.92            0.92           -0.39           -0.38
      0.79            0.38            0.92            0.92           -0.39           -0.38
      0.80            0.39            0.92            0.92           -0.40           -0.39
      0.81            0.39            0.92            0.92           -0.40           -0.39
      0.82            0.40            0.92            0.92           -0.41           -0.40
      0.83            0.40            0.91            0.92           -0.41           -0.40
      0.84            0.41            0.91            0.91           -0.42           -0.41
      0.85            0.41            0.91            0.91           -0.42           -0.41
      0.86            0.42            0.91            0.91           -0.43           -0.42
      0.87            0.42            0.90            0.91           -0.43           -0.42
      0.88            0.43            0.90            0.90           -0.43           -0.43
      0.89            0.43            0.90            0.90           -0.44           -0.43
      0.90            0.43            0.90            0.90           -0.44           -0.43
      0.91            0.44            0.90            0.90           -0.45           -0.44
      0.92            0.44            0.89            0.90           -0.45           -0.44
      0.93            0.45            0.89            0.89           -0.46           -0.45
      0.94            0.45            0.89            0.89           -0.46           -0.45
      0.95            0.46            0.89            0.89           -0.47           -0.46
      0.96            0.46            0.88            0.89           -0.47           -0.46
      0.97            0.47            0.88            0.88           -0.47           -0.47
      0.98            0.47            0.88            0.88           -0.48           -0.47
      0.99            0.48            0.88            0.88           -0.48           -0.47
      1.00            0.48            0.88            0.88           -0.49           -0.48
      1.01            0.48            0.87            0.88           -0.49           -0.48
      1.02            0.49            0.87            0.87           -0.50           -0.49
      1.03            0.49            0.87            0.87           -0.50           -0.49
      1.04            0.50            0.87            0.87           -0.51           -0.50
      1.05            0.50            0.86            0.87           -0.51           -0.50
      1.06            0.51            0.86            0.86           -0.51           -0.51
      1.07            0.51            0.86            0.86           -0.52           -0.51
      1.08            0.51            0.86            0.86           -0.52           -0.51
      1.09            0.52            0.85            0.86           -0.53           -0.52
      1.10            0.52            0.85            0.85           -0.53           -0.52
      1.11            0.53            0.85            0.85           -0.54           -0.53
      1.12            0.53            0.84            0.85           -0.54           -0.53
      1.13            0.54            0.84            0.84           -0.54           -0.54
      1.14            0.54            0.84            0.84           -0.55           -0.54
      1.15            0.54            0.84            0.84           -0.55           -0.54
      1.16            0.55            0.83            0.84           -0.56           -0.55
      1.17            0.55            0.83            0.83           -0.56           -0.55
      1.18            0.56            0.83            0.83           -0.56           -0.56
      1.19            0.56            0.83            0.83           -0.57           -0.56
      1.20            0.56            0.82            0.83           -0.57           -0.56
      1.21            0.57            0.82            0.82           -0.58           -0.57
      1.22            0.57            0.82            0.82           -0.58           -0.57
      1.23            0.58            0.81            0.82           -0.59           -0.58
      1.24            0.58            0.81            0.81           -0.59           -0.58
      1.25            0.59            0.81            0.81           -0.59           -0.59
      1.26            0.59            0.81            0.81           -0.60           -0.59
      1.27            0.59            0.80            0.81           -0.60           -0.59
      1.28            0.60            0.80            0.80           -0.61           -0.60
      1.29            0.60            0.80            0.80           -0.61           -0.60
      1.30            0.61            0.79            0.80           -0.61           -0.61
      1.31            0.61            0.79            0.79           -0.62           -0.61
      1.32            0.61            0.79            0.79           -0.62           -0.61
      1.33            0.62            0.78            0.79           -0.62           -0.62
      1.34            0.62            0.78            0.78           -0.63           -0.62
      1.35            0.62            0.78            0.78           -0.63           -0.62
      1.36            0.63            0.77            0.78           -0.64           -0.63
      1.37            0.63            0.77            0.77           -0.64           -0.63
      1.38            0.64            0.77            0.77           -0.64           -0.64
      1.39            0.64            0.76            0.77           -0.65           -0.64
      1.40            0.64            0.76            0.76           -0.65           -0.64
      1.41            0.65            0.76            0.76           -0.66           -0.65
      1.42            0.65            0.76            0.76           -0.66           -0.65
      1.43            0.66            0.75            0.76           -0.66           -0.66
      1.44            0.66            0.75            0.75           -0.67           -0.66
      1.45            0.66            0.75            0.75           -0.67           -0.66
      1.46            0.67            0.74            0.75           -0.67           -0.67
      1.47            0.67            0.74            0.74           -0.68           -0.67
      1.48            0.67            0.74            0.74           -0.68           -0.67
      1.49            0.68            0.73            0.74           -0.69           -0.68
      1.50            0.68            0.73            0.73           -0.69           -0.68
      1.51            0.69            0.72            0.73           -0.69           -0.69
      1.52            0.69            0.72            0.72           -0.70           -0.69
      1.53            0.69            0.72            0.72           -0.70           -0.69
      1.54            0.70            0.71            0.72           -0.70           -0.70
      1.55            0.70            0.71            0.71           -0.71           -0.70
      1.56            0.70            0.71            0.71           -0.71           -0.70
      1.57            0.71            0.70            0.71           -0.71           -0.71
      1.58            0.71            0.70            0.70           -0.72           -0.71
      1.59            0.71            0.70            0.70           -0.72           -0.71
      1.60            0.72            0.69            0.70           -0.72           -0.72
      1.61            0.72            0.69            0.69           -0.73           -0.72
      1.62            0.72            0.69            0.69           -0.73           -0.72
      1.63            0.73            0.68            0.69           -0.73           -0.73
      1.64            0.73            0.68            0.68           -0.74           -0.73
      1.65            0.73            0.67            0.68           -0.74           -0.73
      1.66            0.74            0.67            0.67           -0.74           -0.74
      1.67            0.74            0.67            0.67           -0.75           -0.74
      1.68            0.74            0.66            0.67           -0.75           -0.74
      1.69            0.75            0.66            0.66           -0.75           -0.75
      1.70            0.75            0.66            0.66           -0.76           -0.75
      1.71            0.75            0.65            0.66           -0.76           -0.75
      1.72            0.76            0.65            0.65           -0.76           -0.76
      1.73            0.76            0.64            0.65           -0.77           -0.76
      1.74            0.76            0.64            0.64           -0.77           -0.76
      1.75            0.77            0.64            0.64           -0.77           -0.77
      1.76            0.77            0.63            0.64           -0.78           -0.77
      1.77            0.77            0.63            0.63           -0.78           -0.77
      1.78            0.78            0.63            0.63           -0.78           -0.78
      1.79            0.78            0.62            0.63           -0.79           -0.78
      1.80            0.78            0.62            0.62           -0.79           -0.78
      1.81            0.79            0.61            0.62           -0.79           -0.79
      1.82            0.79            0.61            0.61           -0.80           -0.79
      1.83            0.79            0.61            0.61           -0.80           -0.79
      1.84            0.80            0.60            0.61           -0.80           -0.80
      1.85            0.80            0.60            0.60           -0.80           -0.80
      1.86            0.80            0.59            0.60           -0.81           -0.80
      1.87            0.80            0.59            0.59           -0.81           -0.80
      1.88            0.81            0.59            0.59           -0.81           -0.81
      1.89            0.81            0.58            0.59           -0.82           -0.81
      1.90            0.81            0.58            0.58           -0.82           -0.81
      1.91            0.82            0.57            0.58           -0.82           -0.82
      1.92            0.82            0.57            0.57           -0.82           -0.82
      1.93            0.82            0.57            0.57           -0.83           -0.82
      1.94            0.82            0.56            0.57           -0.83           -0.82
      1.95            0.83            0.56            0.56           -0.83           -0.83
      1.96            0.83            0.55            0.56           -0.84           -0.83
      1.97            0.83            0.55            0.55           -0.84           -0.83
      1.98            0.84            0.54            0.55           -0.84           -0.84
      1.99            0.84            0.54            0.54           -0.84           -0.84
      2.00            0.84            0.54            0.54           -0.85           -0.84
      2.01            0.84            0.53            0.54           -0.85           -0.84
      2.02            0.85            0.53            0.53           -0.85           -0.85
      2.03            0.85            0.52            0.53           -0.85           -0.85
      2.04            0.85            0.52            0.52           -0.86           -0.85
      2.05            0.85            0.51            0.52           -0.86           -0.85
      2.06            0.86            0.51            0.51           -0.86           -0.86
      2.07            0.86            0.51            0.51           -0.86           -0.86
      2.08            0.86            0.50            0.51           -0.87           -0.86
      2.09            0.86            0.50            0.50           -0.87           -0.86
      2.10            0.87            0.49            0.50           -0.87           -0.87
      2.11            0.87            0.49            0.49           -0.87           -0.87
      2.12            0.87            0.48            0.49           -0.88           -0.87
      2.13            0.87            0.48            0.48           -0.88           -0.87
      2.14            0.88            0.48            0.48           -0.88           -0.88
      2.15            0.88            0.47            0.48           -0.88           -0.88
      2.16            0.88            0.47            0.47           -0.89           -0.88
      2.17            0.88            0.46            0.47           -0.89           -0.88
      2.18            0.89            0.46            0.46           -0.89           -0.89
      2.19            0.89            0.45            0.46           -0.89           -0.89
      2.20            0.89            0.45            0.45           -0.90           -0.89
      2.21            0.89            0.44            0.45           -0.90           -0.89
      2.22            0.90            0.44            0.44           -0.90           -0.90
      2.23            0.90            0.44            0.44           -0.90           -0.90
      2.24            0.90            0.43            0.44           -0.90           -0.90
      2.25            0.90            0.43            0.43           -0.91           -0.90
      2.26            0.90            0.42            0.43           -0.91           -0.90
      2.27            0.91            0.42            0.42           -0.91           -0.91
      2.28            0.91            0.41            0.42           -0.91           -0.91
      2.29            0.91            0.41            0.41           -0.91           -0.91
      2.30            0.91            0.40            0.41           -0.92           -0.91
      2.31            0.91            0.40            0.40           -0.92           -0.91
      2.32            0.92            0.39            0.40           -0.92           -0.92
      2.33            0.92            0.39            0.39           -0.92           -0.92
      2.34            0.92            0.39            0.39           -0.92           -0.92
      2.35            0.92            0.38            0.39           -0.93           -0.92
      2.36            0.92            0.38            0.38           -0.93           -0.92
      2.37            0.93            0.37            0.38           -0.93           -0.93
      2.38            0.93            0.37            0.37           -0.93           -0.93
      2.39            0.93            0.36            0.37           -0.93           -0.93
      2.40            0.93            0.36            0.36           -0.94           -0.93
      2.41            0.93            0.35            0.36           -0.94           -0.93
      2.42            0.94            0.35            0.35           -0.94           -0.94
      2.43            0.94            0.34            0.35           -0.94           -0.94
      2.44            0.94            0.34            0.34           -0.94           -0.94
      2.45            0.94            0.33            0.34           -0.94           -0.94
      2.46            0.94            0.33            0.33           -0.95           -0.94
      2.47            0.94            0.32            0.33           -0.95           -0.94
      2.48            0.95            0.32            0.32           -0.95           -0.95
      2.49            0.95            0.32            0.32           -0.95           -0.95
      2.50            0.95            0.31            0.32           -0.95           -0.95
      2.51            0.95            0.31            0.31           -0.95           -0.95
      2.52            0.95            0.30            0.31           -0.96           -0.95
      2.53            0.95            0.30            0.30           -0.96           -0.95
      2.54            0.96            0.29            0.30           -0.96           -0.96
      2.55            0.96            0.29            0.29           -0.96           -0.96
      2.56            0.96            0.28            0.29           -0.96           -0.96
      2.57            0.96            0.28            0.28           -0.96           -0.96
      2.58            0.96            0.27            0.28           -0.96           -0.96
      2.59            0.96            0.27            0.27           -0.96           -0.96
      2.60            0.96            0.26            0.27           -0.97           -0.96
      2.61            0.96            0.26            0.26           -0.97           -0.96
      2.62            0.97            0.25            0.26           -0.97           -0.97
      2.63            0.97            0.25            0.25           -0.97           -0.97
      2.64            0.97            0.24            0.25           -0.97           -0.97
      2.65            0.97            0.24            0.24           -0.97           -0.97
      2.66            0.97            0.23            0.24           -0.97           -0.97
      2.67            0.97            0.23            0.23           -0.97           -0.97
      2.68            0.97            0.22            0.23           -0.98           -0.97
      2.69            0.97            0.22            0.22           -0.98           -0.97
      2.70            0.98            0.21            0.22           -0.98           -0.98
      2.71            0.98            0.21            0.21           -0.98           -0.98
      2.72            0.98            0.20            0.21           -0.98           -0.98
      2.73            0.98            0.20            0.20           -0.98           -0.98
      2.74            0.98            0.19            0.20           -0.98           -0.98
      2.75            0.98            0.19            0.19           -0.98           -0.98
      2.76            0.98            0.18            0.19           -0.98           -0.98
      2.77            0.98            0.18            0.18           -0.98           -0.98
      2.78            0.98            0.17            0.18           -0.99           -0.98
      2.79            0.98            0.17            0.17           -0.99           -0.98
      2.80            0.99            0.17            0.17           -0.99           -0.99
      2.81            0.99            0.16            0.17           -0.99           -0.99
      2.82            0.99            0.16            0.16           -0.99           -0.99
      2.83            0.99            0.15            0.16           -0.99           -0.99
      2.84            0.99            0.15            0.15           -0.99           -0.99
      2.85            0.99            0.14            0.15           -0.99           -0.99
      2.86            0.99            0.14            0.14           -0.99           -0.99
      2.87            0.99            0.13            0.14           -0.99           -0.99
      2.88            0.99            0.13            0.13           -0.99           -0.99
      2.89            0.99            0.12            0.13           -0.99           -0.99
      2.90            0.99            0.12            0.12           -0.99           -0.99
      2.91            0.99            0.11            0.12           -0.99           -0.99
      2.92            0.99            0.11            0.11           -0.99           -0.99
      2.93            0.99            0.10            0.11           -1.00           -0.99
      2.94            0.99            0.10            0.10           -1.00           -0.99
      2.95            1.00            0.09            0.10           -1.00           -1.00
      2.96            1.00            0.09            0.09           -1.00           -1.00
      2.97            1.00            0.08            0.09           -1.00           -1.00
      2.98            1.00            0.08            0.08           -1.00           -1.00
      2.99            1.00            0.07            0.08           -1.00           -1.00
      3.00            1.00            0.07            0.07           -1.00           -1.00
      3.01            1.00            0.06            0.07           -1.00           -1.00
      3.02            1.00            0.06            0.06           -1.00           -1.00
      3.03            1.00            0.05            0.06           -1.00           -1.00
      3.04            1.00            0.05            0.05           -1.00           -1.00
      3.05            1.00            0.04            0.05           -1.00           -1.00
      3.06            1.00            0.04            0.04           -1.00           -1.00
      3.07            1.00            0.03            0.04           -1.00           -1.00
      3.08            1.00            0.03            0.03           -1.00           -1.00
      3.09            1.00            0.02            0.03           -1.00           -1.00
      3.10            1.00            0.02            0.02           -1.00           -1.00
      3.11            1.00            0.01            0.02           -1.00           -1.00
      3.12            1.00            0.01            0.01           -1.00           -1.00
      3.13            1.00            0.00            0.01           -1.00           -1.00
      3.14            1.00           -0.00            0.00           -1.00           -1.00
